"","Bin","classification","phylum","class"
"1","12C16O_0h_100_P08_coass_bin.13","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__","Acidobacteriota","Thermoanaerobaculia"
"366","H1-18-all-fractions_metab_69.Sphingomonadales_65_37","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_A;s__","Proteobacteria","Alphaproteobacteria"
"370","H1-18-all-fractions_metab_conc_103.Sphingomonadales_66_15","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_A;s__","Proteobacteria","Alphaproteobacteria"
"379","H1-18-all-fractions_metab_conc_37.Gemmatimonadetes_69_16","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG11;s__","Gemmatimonadota","Gemmatimonadetes"
"384","H1-18-all-fractions_metab_conc_61.Actinobacteria_70_18","d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__HRBIN12;g__;s__","Actinobacteriota","UBA4738"
"394","H2-16-all-fractions_metab_114.Bacteria_70_8","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__","Gemmatimonadota","Gemmatimonadetes"
"403","H2-16-all-fractions_metab_75.Sphingomonadales_65_38","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","Proteobacteria","Alphaproteobacteria"
"406","H2-16-all-fractions_metab_conc_101.Burkholderiales_63_22","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__","Proteobacteria","Gammaproteobacteria"
"413","H2-16-all-fractions_metab_conc_25.Burkholderiales_70_14","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__","Proteobacteria","Gammaproteobacteria"
"415","H2-16-all-fractions_metab_conc_42.Caulobacterales_70_17","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__","Proteobacteria","Alphaproteobacteria"
"418","H2-16-all-fractions_metab_conc_5.Streptomyces_sviceus_71_22","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001746295","Actinobacteriota","Actinomycetia"
"423","H2-16-all-fractions_metab_conc_77.Actinobacteria_71_48","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__","Actinobacteriota","Thermoleophilia"
"425","H2-18-all-fractions_metab_36.Geodermatophilales_73_36","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Geodermatophilaceae;g__Blastococcus;s__","Actinobacteriota","Actinomycetia"
"429","H2-18-all-fractions_metab_91.Actinobacteria_71_22","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__","Actinobacteriota","Thermoleophilia"
"454","H3-16-all-fractions_metab_76.Alphaproteobacteria_69_0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Geminicoccales;f__Geminicoccaceae;g__;s__","Proteobacteria","Alphaproteobacteria"
"460","H3-16-all-fractions_metab_conc_118.Mycobacterium_smegmatis_66_0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__","Actinobacteriota","Actinomycetia"
"462","H3-16-all-fractions_metab_conc_13.Lysobacter_68_0","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_B;s__","Proteobacteria","Gammaproteobacteria"
"476","H3-16-all-fractions_metab_conc_83.Actinobacteria_70_0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__","Actinobacteriota","Thermoleophilia"
"493","H3-18-all-fractions_metab_conc_4.Bradyrhizobium_62_18","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__","Proteobacteria","Alphaproteobacteria"
"500","H3-18-all-fractions_metab_conc_75.Burkholderiales_69_10","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__","Proteobacteria","Gammaproteobacteria"
