"","bin","t168_18O_100","t168_18O_50","t24_18O_100","t48_18O_100","t48_18O_50","t72_18O_100","classification"
"62","12C16O_48h_50_unf_bin.44",0,0.63618765801125,0,0.746054616461869,0.458843231166212,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__"
"63","12C16O_72h_100_P08_coass_bin.2",0,0,0.263885544571761,0.358079066715111,0.288669253399595,0.275562310893014,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__"
"64","12C16O_72h_100_P14_coass_bin.22",0,0,0,0.0369773728864567,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__AC-57;s__"
"65","12C16O_72h_100_P16_coass_bin.33",0,0,0,0.0725343235674787,0,0,"d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__;s__"
"66","12C16O_72h_100_P16_coass_bin.5",0,0,0,0,0,0,"d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__"
"67","12C16O_72h_100_unf_bin.11",0.196110547422,0.221820931183548,0,0.212372789080572,0.120823352862779,0.154197873773409,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__"
"68","12C18O_168h_50_P09_coass_bin.21",0,0,0.0347236841740415,0.0890480870109481,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__"
"69","12C18O_168h_50_P10_coass_bin.12",0,0,0,0.122356897834902,0,0,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__"
"70","12C18O_168h_50_P10_coass_bin.6",0.283390592863081,0,0,0.126520130985719,0,0.176101199015527,"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__JACDCH01;g__VFJN01;s__"
"71","12C18O_168h_50_P13_coass_bin.21",0.127203839117342,0,0,0,0,0.129210280060209,"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__"
"72","12C18O_168h_50_P13_coass_bin.24",0.0949583720127221,0,0,0,0,0,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__"
"73","12C18O_168h_50_P13_coass_bin.5",0.157578433018904,0.133432794091849,0.063547289886002,0.198017071784577,0.204578968040865,0,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Friedmanniella;s__"
"74","12C18O_24h_100_P08_coass_bin.29",0,0,0,0.366479941279384,0,0,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__"
"75","12C18O_48h_100_P08_coass_bin.1",0,0,0,0.0614422946139803,0,0,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__"
"76","12C18O_48h_100_P08_coass_bin.32",0,0,0,0,0,0,"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__"
"77","12C18O_72h_100_P08_coass_bin.19",0.350193032061161,0.42723794470616,0.0947231219733549,0.249367711118755,0.237224963645875,0.222204250912547,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__"
"78","H1-16-all-fractions_metab_conc_1.Actinobacteria_71_32",0,0.303195937773953,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__"
"79","H1-16-all-fractions_metab_conc_2.Bradyrhizobium_62_16",0.177786350831548,0.0971736137990744,0,0.0990118357228019,0.043090629541421,0.0587263140593276,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__"
"80","H1-16-all-fractions_metab_conc_21.Actinobacteria_69_13",0,0,0,0.042753131338298,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__;s__"
"81","H1-16-all-fractions_metab_conc_57.Solirubrobacterales_72_43",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__"
"82","H1-16-all-fractions_metab_conc_65.Bacteria_66_15",0.157596358063122,0.226352962103787,0,0.0253760444100667,0,0,"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QHXN01;s__"
"83","H1-18-all-fractions_metab_69.Sphingomonadales_65_37",0.473898090442597,0.458550840674211,0,0.423193218997559,0.331027220339172,0.436582818854434,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_A;s__"
"84","H1-18-all-fractions_metab_conc_103.Sphingomonadales_66_15",0,0,0,0.555505763824284,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_A;s__"
"85","H1-18-all-fractions_metab_conc_17.Bacteria_55_30",0,0,0,0,0,0,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV55;s__AV55 sp003219945"
"86","H1-18-all-fractions_metab_conc_19.Rhizobiales_64_12",0,0,0,0,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Anderseniellaceae;g__;s__"
"87","H1-18-all-fractions_metab_conc_37.Gemmatimonadetes_69_16",0.206271425929277,0.182950434636391,0,0.0660929238568555,0.0377558372341622,0.0517370613142682,"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG11;s__"
"88","H1-18-all-fractions_metab_conc_61.Actinobacteria_70_18",0,0,0,0.0751597603073954,0,0,"d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__HRBIN12;g__;s__"
"89","H1-18-all-fractions_metab_conc_71.Actinobacteria_71_26",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__"
"90","H2-16-all-fractions_metab_114.Bacteria_70_8",0.0714061361612771,0,0,0,0,0,"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__"
"91","H2-16-all-fractions_metab_75.Sphingomonadales_65_38",0,0,0,0.556597712261269,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__"
"92","H2-16-all-fractions_metab_conc_101.Burkholderiales_63_22",0,0,0.573728570965303,0.719892450409186,0.525927517200251,0.668183743537195,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__"
"93","H2-16-all-fractions_metab_conc_19.Actinobacteria_69_35",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__"
"94","H2-16-all-fractions_metab_conc_25.Burkholderiales_70_14",0.306956411615359,0.370252221192637,0.206600982845953,0.355912447804447,0.282194571205092,0.30800611751385,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__"
"95","H2-16-all-fractions_metab_conc_42.Caulobacterales_70_17",0.351755158248525,0.269135636538629,0,0.457681377490621,0.145276541771362,0.330877386780464,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__"
"96","H2-16-all-fractions_metab_conc_5.Streptomyces_sviceus_71_22",0.171036309603047,0.275763034073223,0,0.176660783715374,0.156150324497809,0.126833874036919,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001746295"
"97","H2-16-all-fractions_metab_conc_77.Actinobacteria_71_48",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__"
